"hhid","zone","sector","ea","hhsize","wt_wave4","popw","food_own1","food_purch1","food_own2","food_purch2","food_own3","food_purch3","food_own4","food_purch4","food_own5","food_purch5","food_own6","food_purch6","food_own7","food_purch7","food_own8","food_purch8","food_own9","food_purch9","food_own10","food_purch10","food_own11","food_purch11","food_own12","food_purch12","food_own13","food_purch13","food_own14","food_purch14","food_own15","food_purch15","food_own16","food_purch16","food_own17","food_purch17","food_own18","food_purch18","food_own19","food_purch19","food_meals20","nonfood21","nonfood22","nonfood23","nonfood24","nonfood25","nonfood26","nonfood27","nonfood28","nonfood29","edu29","edu30","health31","health32","rent33","reg_def_mean","totcons_pc","totcons_adj","totcons_adj_norm"
229021,1,2,194,4,2071.36572265625,8285.462890625,7395.22666015625,0,0,1564.28576660156,16742.2739746094,0,1082.74499511719,1407.85712890625,5942.75209960938,0,0,0,1370.63930664062,11601.7857299805,0,0,15642.8578125,7821.4287109375,0,6876.97817382812,0,0,0,0,0,379.433145141602,0,651.785705566406,0,0,6951.102734375,0,5446.10991210938,0,0,0,0,0,6517.85693359375,12905.3576171875,0,0,0,2328.33337402344,1475.20833740234,1548,6349.4791015625,0,0,0,0,2500,5829.13359375,0.916500002145767,130330.630813599,142204.725050148,145848.381262224
229023,1,2,194,5,2071.36572265625,10356.828125,15231.2268229167,0,0,1564.28580729167,5561.9046875,7777.97623697917,1749.68248697917,9472.6189860026,0,6170.23795572917,1564.28564453125,0,2702.06970214844,4901.4285563151,0,0,0,2534.72216796875,0,12290.8165364583,0,0,0,1433.92859700521,8429.76171875,434.523807779948,0,0,0,0,0,11601.7859375,0,0,0,0,0,0,2607.1427734375,11297.6188802083,3852.77783203125,0,191.190482584635,6488.8890625,3315.55561523438,7066.66666666667,0,0,0,0,6326.666796875,0,3835.6171875,0.916500002145767,138403.380948893,151012.963038576,154882.309297538
229024,1,2,194,3,2071.36572265625,6214.09716796875,14275.2962239583,0,0,13904.76171875,13904.76171875,5215.84301757812,0,14339.28515625,0,9733.33365885417,0,0,2125.38826497396,7427.08634440104,0,0,0,8759.748046875,0,11442.4612630208,0,0,0,651.785725911458,0,3815.11900838216,0,5996.42830403646,0,0,0,7356.92252604167,5428.27408854167,0,0,0,0,0,52142.857421875,4345.23795572917,1926.38891601562,0,9298.80926513672,14194.4443359375,3911.11118570964,8400,9125,0,0,0,4866.66682942708,0,4220.03385416667,0.916500002145767,236807.044830322,258381.93592569,265002.355504518
229025,1,2,642,3,1629.57690429688,4888.73046875,17508.5325520833,0,0,5214.28548177083,26187.3020833333,10428.5711263021,0,12340.476155599,0,9211.90494791667,5278.15942382812,0,2433.33333333333,12601.1903483073,0,0,0,5289.85514322917,0,9124.99967447917,0,0,0,2346.42854817708,0,10580.6545206706,0,0,0,0,0,23898.8098958333,9616.39388020833,0,0,0,0,0,26071.4296875,8690.47591145833,2433.33333333333,0,347.619059244792,6352.77783203125,2837.50003051758,4666.66666666667,10544.4446614583,0,2233.33333333333,2233.33333333333,6083.33333333333,0,7671.234375,0.916500002145767,242226.378672282,264295.011571376,271066.939581456
229026,1,2,642,3,1629.57690429688,4888.73046875,13303.9638671875,0,0,0,10892.0638020833,3476.19051106771,0,4345.23771158854,0,6952.38118489583,0,0,1303.57149251302,4856.1328125,0,0,0,0,0,2126.87963867188,0,0,0,2607.14282226562,0,8516.66664632162,0,0,0,0,0,6517.85709635417,1127.4130859375,0,0,0,0,0,0,0,1419.44449869792,0,173.809529622396,0,1419.44441731771,1633.33333333333,0,0,666.666666666667,583.333333333333,811.111083984375,0,2761.615234375,0.916500002145767,75494.2587687174,82372.3498002898,84482.9443951409
229028,1,2,642,1,1629.57690429688,1629.57690429688,26607.927734375,0,0,26071.427734375,32676.19140625,8346.59521484375,10167.8564453125,0,0,5367.64697265625,0,2607.14282226562,2465.45043945312,0,0,0,6612.31884765625,0,10518.0576171875,10428.5712890625,0,7821.42822265625,0,5474.99975585938,0,11300.3373413086,0,10167.8571777344,0,0,18249.9995117188,0,1691.11962890625,0,0,7203.947265625,0,0,76910.7163085938,146000,3041.66674804688,0,0,49066.6669921875,12775,5000,24333.333984375,0,0,0,0,7000,17962.0703125,0.916500002145767,545868.329772949,595601.013087756,610861.865569913
229029,1,2,642,2,1629.57690429688,3259.15380859375,6433.056640625,0,0,0,8342.857421875,7375.8759765625,0,1998.8096110026,5112.044921875,2607.14282226562,0,0,6260.48567708333,3908.31355794271,0,0,0,4345.23795572917,0,11168.552734375,0,0,0,0,4345.23795572917,774.48132832845,0,2607.14290364583,0,0,7095.51802571614,0,2607.14274088542,0,0,0,0,0,7821.4287109375,5214.28580729167,0,0,173.809529622396,658.333333333333,1469.44439697266,2250,0,0,0,0,11450,0,16354.7200520833,0.916500002145767,120373.922103882,131340.885785112,134706.182080448
229031,1,2,642,4,1629.57690429688,6518.3076171875,8919.30834960938,0,0,0,19466.6669921875,0,0,6380.80688476562,8971.63879394531,0,0,0,0,12123.2144165039,0,0,0,0,0,12112.3508300781,0,0,0,0,0,3379.05097198486,0,0,0,0,12567.9619140625,0,10102.6782226562,0,0,0,0,0,13035.7138671875,6517.85693359375,0,0,0,1558.33337402344,1672.91668701172,0,0,600,1500,1765,1200,875,3165.025390625,0.916500002145767,125913.523628235,137385.186397641,140905.353450378
229032,1,2,642,6,1629.57690429688,9777.4609375,1587.06396484375,7207.98307291667,0,1260.1190999349,17893.0699869792,8690.47591145833,869.047526041667,4345.23795572917,8946.07845052083,4345.23795572917,1970.00406901042,0,10024.7685038249,5250.7294921875,0,0,43452.3802083333,0,0,3910.71419270833,0,1738.09521484375,0,0,1738.09521484375,312.14800008138,0,173.809529622396,0,1825,3275.54264322917,0,5743.01025390625,0,0,0,0,6083.33333333333,1303.57145182292,1303.57145182292,0,0,0,2807.50008138021,1034.16664632161,5100,3726.04166666667,0,250,1521.66666666667,10138.8889160156,4916.66666666667,6281.62044270833,0.916500002145767,179025.63857015,195336.211839611,200341.235417146
229033,1,2,642,1,1629.57690429688,1629.57690429688,13303.9638671875,0,0,6517.857421875,43719.103515625,1567.08923339844,2085.71411132812,17128.7900390625,7821.4287109375,5214.28564453125,0,3910.71411132812,10705.6333618164,15203.532043457,0,0,0,0,0,30851.1918945312,0,2607.14282226562,0,0,2607.14306640625,19162.5001220703,0,0,0,0,3910.71435546875,10428.5712890625,18249.9995117188,0,0,2607.14282226562,0,0,7821.4287109375,15642.857421875,4866.66674804688,0,0,100,4458.33319091797,0,0,0,0,0,2433.33325195312,0,20733.529296875,0.916500002145767,273658.666564941,298591.01573839,306241.696888272
