"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320029,5,0,0,0,0,0,1460,0,0,1240,1564.28576660156,0,0,4866.666796875,0,2085.7142578125,0,0,0,0,12638.052734375,0,0,0,0,1042.85712890625,0,6257.14296875,0,3128.571484375,0,0,5214.285546875,0,1251.42861328125,2607.1427734375,0,1355.71428222656,3128.571484375,0,2502.8572265625,0,3649.99990234375,834.2857421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,1216.66674804688,72044.2421875,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320030,5,0,0,0,0,0,1460,0,0,0,1612.95239257813,0,0,0,0,3128.571484375,0,0,0,0,11650.638671875,0,0,0,0,2230.90988324354,2230.90988324354,6692.72987254767,0,5354.18374417789,0,0,0,0,1450.09141113381,6246.54774020508,0,2565.54638175373,3346.36493627383,0,2900.18298708836,0,3904.09228421596,892.363996027189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.66674804688,56882.75390625,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320031,11,0,0,0,0,0,442.424227627841,0,0,72.7272727272727,537.229431152344,136.363632202148,0,2212.12127130682,0,1422.07794744318,553.030317826705,0,0,0,1304.30822753906,0,0,0,0,1185.06489701705,0,0,0,2512.33762428977,0,0,0,948.051935369318,0,2133.11683238636,0,474.025967684659,1137.66237571023,0,0,0,2607.14280007102,711.038973721591,0,0,0,0,2708.71999289773,7584.41548295455,0,0,0,0,0,0,0,0,0,462.739635120739,0,0,0,0,0,3181.81811523438,553.030334472656,32879.44921875,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320032,7,0,0,0,0,0,695.238071986607,0,0,0,670.408203125,114.285713195801,0,0,0,0,1738.09528459821,0,0,0,686.767028808594,0,0,0,0,1532.40731549138,0,0,0,2681.71283528749,0,0,0,1532.40731549138,0,3447.91641987939,0,766.203657745692,1838.88886365475,0,1379.1665414097,459.722215913688,0,612.962955118139,0,0,0,0,4378.30690247743,12259.2585239311,0,0,1178.77494470641,0,0,0,0,0,0,747.960713594589,0,0,0,0,0,7142.85693359375,695.238098144531,44558.578125,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320033,9,0,0,0,0,0,1216.66666666667,135.185180664063,0,1677.77777777778,1709.78845214844,0,0,0,0,5793.65060763889,1351.85188802083,0,0,0,828.556945800781,0,0,0,0,0,0,14484.1267361111,0,0,0,0,0,14484.1265190972,0,1158.73014322917,0,579.365071614583,0,0,0,0,0,579.365071614583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666.66650390625,666.666687011719,51332.53125,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320034,2,0,0,0,0,0,3650,608.333312988281,0,8300,2877.380859375,0,0,0,0,26071.427734375,1882.9365234375,0,0,7821.4287109375,3728.50634765625,0,0,0,0,0,0,0,0,0,0,0,0,49535.71484375,0,5214.28564453125,0,2346.42846679688,0,0,0,0,13035.7138671875,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2867.85717773438,0,0,0,0,0,0,2108.33325195313,131873.359375,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320035,7,0,0,0,0,0,1303.57142857143,260.714285714286,0,1157.14285714286,910.2041015625,0,0,0,0,3724.48967633929,2433.33342633929,0,0,0,6333.03955078125,0,0,0,0,0,0,18622.4486607143,0,0,0,0,0,17132.6534598214,0,1489.7958984375,0,744.89794921875,0,0,0,0,0,521.428571428571,0,0,0,0,0,0,0,0,11459.9698660714,0,0,0,0,0,0,0,0,0,0,0,0,1857.14282226563,228.571426391602,68179.3984375,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320036,6,0,0,0,0,0,1013.88891601563,0,0,2433.33333333333,1248.01586914063,0,0,0,0,0,3650,0,0,0,1242.83544921875,0,0,0,0,0,0,0,0,0,0,0,0,22595.2376302083,0,3476.1904296875,0,869.047607421875,0,0,0,0,2085.71435546875,434.523803710938,0,0,0,0,0,5087.10807291667,0,0,0,0,0,0,0,0,0,955.952392578125,0,0,0,0,0,2666.66674804688,602.777770996094,48361.296875,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320037,3,0,0,0,0,0,1013.88891601563,0,0,0,984.920593261719,233.33332824707,0,0,0,0,0,0,0,0,1791.16760253906,0,0,0,0,2085.71435546875,0,0,0,0,0,0,0,1738.09521484375,0,3476.1904296875,0,1738.09521484375,2085.71435546875,0,0,0,10428.5714518229,0,0,0,0,0,4965.98665364583,6952.380859375,0,0,0,0,0,0,0,0,0,1696.71199544271,0,0,0,0,0,0,0,39190.7734375,680.218322753906
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3223,578,0,320038,7,0,0,0,0,0,173.809517996652,0,0,0,422.108825683594,0,0,0,0,0,0,0,0,0,2049.62719726563,0,0,0,0,0,0,0,0,0,0,0,0,5214.28557477679,0,0,0,0,0,0,0,0,0,372.448974609375,0,0,0,0,0,14897.9587053571,0,0,6875.98158482143,0,0,0,0,0,0,1578.47433035714,0,0,0,0,0,12871.4287109375,521.428588867188,44977.5546875,680.218322753906
